"sensor_nodes_id","site_name","source_name","city"
2779,"Spittal a.d.Drau Oktoberstrasse","EEA Austria","Austria"
657,"Fulton","AirNow","Buffalo-Niagara Falls"
2781,"Vomp an der Leiten","EEA Austria","Austria"
2759,"Leoben Donawitz","EEA Austria","Austria"
687,"Turgutlu","Turkey","Manisa"
295,"Gendarmería","Chile - SINCA","Tocopilla"
2778,"Sonnblick","EEA Austria","Austria"
2784,"Wien Schafberg","EEA Austria","Austria"
778,"Lower Newcastle","AirNow","NEW BRUNSWICK"
8789,"Cedar Bay","AirNow","DUVAL"
87,"De Rips-Klotterpeellaan","Netherlands","De Rips"
2760,"Krems","EEA Austria","Austria"
704,"WEST OLIVE","AirNow","OTTAWA"
705,"GBUAPCD EBAM 1","AirNow","GBU"
707,"GBUAPCD EBAM 1","AirNow","GBU"
713,"DBT","AirNow","Montgomery"
728,"Ronan-MT","AirNow","LAKE"
751,"ST LEONARD","AirNow","NEW BRUNSWICK"
754,"FREDERICTON","AirNow","NEW BRUNSWICK"
867,"Paso Robles - Santa","AirNow","San Luis Obispo-Paso Robles"
2783,"Vösendorf","EEA Austria","Austria"
7102,"MMCA81026","AirNow","CA8 - ARB"
2767,"Vomp A12 Inntalautobahn","EEA Austria","Austria"
7099,"Unit1029","AirNow","FS1 - Forest Service"
74,"Leiden-Willem de Zwijgerlaan","Netherlands","Leiden"
502,"François","AirNow","QUEBEC"
6135,"Altınova-MTHM","Turkey","Yalova"
802,"Due West","AirNow","ABBEVILLE"
7107,"MMNPS1017","AirNow","NPS"
842,"James River-South","AirNow","Springfield"
844,"Cerrillos","Chile - SINCA","Cerrillos"
2768,"St. Georgen im Lavanttal - Herzogberg","EEA Austria","Austria"
1032,"Perris","AirNow","Riverside-San Bernardino-Ontario"
7161,"教师进修学校","ChinaAQIData","吴江市"
1036,"Pico Rivera","AirNow","Los Angeles-Long Beach-Santa Ana"
1074,"Hamilton","AirNow","Cincinnati-Middletown"
7048,"Cody Mobile","AirNow","PARK"
2792,"Hochwurzen","EEA Austria","Austria"
2795,"Kufstein Praxmarerstraße","EEA Austria","Austria"
2398,"Geleen-Vouershof","Netherlands","Geleen"
2796,"Wörgl","EEA Austria","Austria"
2797,"Lienz Amlacherkreuzung","EEA Austria","Austria"
2785,"St. Johann im Pongau","EEA Austria","Austria"
2786,"Wien Lobau - Grundwasserwerk","EEA Austria","Austria"
1005,"Paia, Maui","AirNow","MAUI"
7639,"胜华新制药厂","ChinaAQIData","兴安盟"
2409,"Nueva  Aldea","Chile - SINCA","Ránquil"
2805,"Wald am Arlberg","EEA Austria","Austria"
2806,"Gratwein","EEA Austria","Austria"
2807,"Wien Gaudenzdorf","EEA Austria","Austria"
2808,"Wien Floridsdorf Gerichtsgasse","EEA Austria","Austria"
2809,"Wien Belgradplatz","EEA Austria","Austria"
3769,"FR11030","EEA France","Nord"
2810,"Wien AKH","EEA Austria","Austria"
2798,"Lienz Tristacher See Straße","EEA Austria","Austria"
2799,"Wien Hietzinger Kai","EEA Austria","Austria"
2800,"Kundl A12","EEA Austria","Austria"
2801,"Köflach","EEA Austria","Austria"
2802,"Wien Hermannskogel","EEA Austria","Austria"
3761,"FR31014","EEA France","Pyrénées-Atlantiques"
2813,"Graz Nord","EEA Austria","Austria"
1213,"Kinsman","AirNow","Youngstown-Warren-Boardman"
1936,"Seattle-South Park","AirNow","Seattle-Tacoma-Bellevue"
2787,"Wien Liesing","EEA Austria","Austria"
2788,"Wien Laaer Berg","EEA Austria","Austria"
1247,"LAX-Hastings","AirNow","Los Angeles-Long Beach-Santa Ana"
1025,"Payne's Prarie","AirNow","Gainesville"
2142,"Reno3","AirNow","Reno-Sparks"
2818,"Hallein Winterstall","EEA Austria","Austria"
2819,"Lustenau Zollamt","EEA Austria","Austria"
10929,"Sollentuna Häggvik (E4)","Stockholm","Stockholm"
1262,"Anaheim","AirNow","Los Angeles-Long Beach-Santa Ana"
7458,"1008","AirNow","CA8 - ARB"
2823,"Villach Tirolerbrücke","EEA Austria","Austria"
1276,"Laconia","AirNow","Laconia"
2655,"Southport DRR","AirNow","BRUNSWICK"
225890,"Motherwell Day Hospital","South Africa","Nelson Mandela Bay Metro"
1286,"Lake Ahquabi","AirNow","Des Moines"
1290,"Lake Elsinore - W. F","AirNow","Riverside-San Bernardino-Ontario"
6264,"Aralık","Turkey","Iğdır"
1400,"Foley","AirNow","St. Louis"
2879,"Tamsweg - Untere Postgasse","EEA Austria","Austria"
1326,"Azusa","AirNow","Los Angeles-Long Beach-Santa Ana"
1328,"Yorkville","AirNow","Atlanta-Sandy Springs-Marietta"
7488,"MMCA82059","AirNow","CA8 - ARB"
2824,"Klosterneuburg Wisentgasse","EEA Austria","Austria"
2825,"Höchst Gemeindeamt","EEA Austria","Austria"
4827,"Başöğretmen","Turkey","Sivas"
2865,"Dornbirn Stadtstraße","EEA Austria","Austria"
2866,"Klein St. Paul - Pemberg","EEA Austria","Austria"
2868,"Braunau Zentrum","EEA Austria","Austria"
2870,"Kematen","EEA Austria","Austria"
2874,"Linz Kleinmünchen","EEA Austria","Austria"
2875,"Imst Inntalautobahn A12","EEA Austria","Austria"
6213,"Dilovası-İMES OSB 1-MTHM","Turkey","Kocaeli"
5522,"Brisbane CBD","Australia - Queensland","South East Queensland"
1188,"Goldsby","AirNow","Oklahoma City"
1584,"Low Service","AirNow","Toledo"
1585,"Upland","AirNow","Riverside-San Bernardino-Ontario"
2884,"Fürstenfeld","EEA Austria","Austria"
1662,"MOBILE-KICKAPOO","AirNow","LINCOLN"
5098,"GBUAPCD EBAM @ Lee V","AirNow","GBU"
4850,"Atakum","Turkey","Samsun"
1136,"Joshua Tree NP - Cot","AirNow","Riverside-San Bernardino-Ontario"
1770,"St. Paul-University","AirNow","Minneapolis-St. Paul-Bloomington"
1554,"VERIZON","AirNow","WASHINGTON"
2880,"Judenburg","EEA Austria","Austria"
2882,"Judendorf Süd","EEA Austria","Austria"
4840,"Şehzade","Turkey","Amasya"
4933,"BETR894","EEA Belgium","Antwerpen"
2148,"DN1","AirNow","CADDO"
1494,"Bates House","AirNow","Columbia"
1498,"Baytown C148","AirNow","Houston-Sugar Land-Baytown"
3074,"Frankfurt-Höchst","EEA Germany","Stefan Jacobi"
6224,"Canik","Turkey","Samsun"
898,"Yosemite Village - V","AirNow","MARIPOSA"
6125,"Lüleburgaz-MTHM","Turkey","Kırklareli"
1564,"Long Beach - Hudson","AirNow","Los Angeles-Long Beach-Santa Ana"
1814,"Mission Viejo","AirNow","Los Angeles-Long Beach-Santa Ana"
5802,"Aksaray","Turkey","İstanbul"
1944,"Columbus - Fairgroun","AirNow","Columbus"
1887,"NEWHANO","AirNow","Wilmington"
1841,"Mt. Washington base","AirNow","Berlin"
2705,"FR02005","EEA France","Bouches-du-Rhône"
4789,"DESH025","EEA Germany","Schleswig-Holstein"
3064,"DENW100","EEA Germany","Nordrhein-Westfalen"
1575,"Los Angeles - N. Mai","AirNow","Los Angeles-Long Beach-Santa Ana"
1843,"Murphy Ridge","AirNow","Evanston"
1863,"Cisco Drive","AirNow","Jacksonville"
5237,"Glide Fire Dept","AirNow","DOUGLAS"
1864,"Spokane-3rd St S","AirNow","SPOKANE"
6129,"Alikahya-MTHM","Turkey","Kocaeli"
522,"Springfield","AirNow","Springfield"
2021,"Near Road","AirNow","ADA"
3991,"FR34018","EEA France","Loiret"
1439,"Fayette C601","AirNow","FAYETTE"
3941,"Bahabey","Turkey","Çorum"
2005,"Napa - Jefferson St","AirNow","Napa"
1980,"Costa Mesa - Mesa Ve","AirNow","Los Angeles-Long Beach-Santa Ana"
1370,"Fort Independence Me","AirNow","Bishop"
2121,"Riverside - Rubidoux","AirNow","Riverside-San Bernardino-Ontario"
2037,"SYDNEY","AirNow","Tampa-St. Petersburg-Clearwater"
2014,"Natomas - Goldenland","AirNow","SACRAMENTO"
2015,"San Bernadino - 4th","AirNow","Riverside-San Bernardino-Ontario"
1544,"Bloomington","AirNow","Bloomington"
4855,"Kayaş","Turkey","Ankara"
1373,"Wolf Creek","AirNow","PICKENS"
2149,"Odiorne State Park","AirNow","Boston-Cambridge-Quincy"
2154,"Redlands - Dearborn","AirNow","Riverside-San Bernardino-Ontario"
2205,"El Cajon - FSD","AirNow","San Diego-Carlsbad-San Marcos"
2215,"ROSELAKE","AirNow","Lansing-East Lansing"
156,"London Teddington","DEFRA","London"
2317,"Bottesford","DEFRA","Bottesford"
8803,"Salmon PM2.5","AirNow","LEMHI"
2039,"Substation","AirNow","Farmington"
5527,"West Mackay","Australia - Queensland","Mackay"
1089,"Ivanhoe C414","AirNow","El Paso"
5233,"Cid.Universitária-USP-Ipen","Sao Paulo CETESB","São Paulo"
6140,"Can-MTHM","Turkey","Çanakkale"
3837,"LLCHD BAM","AirNow","Lincoln"
10798,"Tustervatn","Norway","Tustervatn"
2276,"Biddinghuizen-Hoekwantweg","Netherlands","Biddinghuizen"
1241,"LAKE GENEVA","AirNow","Whitewater"
1091,"J. D. Smith","AirNow","Las Vegas-Paradise"
5821,"Rosselle & Copeland","AirNow","DUVAL"
2101,"Indio - Jackson Stre","AirNow","Riverside-San Bernardino-Ontario"
2104,"Round Top Ridge","AirNow","QUEBEC"
3348,"40GK09 - GENK","EEA Belgium","Flanders"
9320,"Monash","Australia - ACT","Canberra"
5516,"The Gap","Australia - Queensland","Mt Isa"
2373,"Great Dun Fell","DEFRA","Great Dun Fell"
642,"PS 19","AirNow","NEW YORK"
2396,"Lincoln Canwick Rd.","DEFRA","Lincoln"
4841,"İstasyonkavşağı","Turkey","Sivas"
2410,"Reading London Rd.","DEFRA","Reading"
5520,"Targinie","Australia - Queensland","Gladstone"
2440,"Liverpool Queen's Drive Roadside","DEFRA","Liverpool"
8044,"King City AMS","AirNow","MONTEREY"
2633,"Torrington Mobile","AirNow","GOSHEN"
2624,"MMCA81006","AirNow","CA8 - ARB"
1685,"Heritage Middle Scho","AirNow","San Antonio"
2647,"Foley","AirNow","St. Louis"
2649,"Ben Lomond","AirNow","Santa Cruz-Watsonville"
2650,"Paul Neph","AirNow","MINIDOKA"
834,"JENISON","AirNow","Holland-Grand Haven"
2675,"CACHAN","EEA France","AIRPARIF"
1406,"West Union","AirNow","ADAMS"
2445,"US Diplomatic Post: Dhaka","StateAir_Dhaka","Dhaka"
2446,"US Diplomatic Post: Ho Chi Minh City","Ho Chi Minh City","Ho Chi Minh City"
2448,"US Diplomatic Post: Ulaanbaatar","StateAir_Ulaanbaatar","Ulaanbaatar"
1431,"BUTNER","AirNow","GRANVILLE"
2459,"US Diplomatic Post: Hyderabad","StateAir_Hyderabad","Hyderabad"
2460,"US Diplomatic Post: Kolkata","StateAir_Kolkata","Kolkata"
2461,"US Diplomatic Post: Chennai","StateAir_Chennai","Chennai"
2462,"US Diplomatic Post: Mumbai","StateAir_Mumbai","Mumbai"
2597,"US Diplomatic Post: New Delhi","StateAir_NewDelhi","Delhi"
2599,"US Diplomatic Post: Lima","StateAir_Lima","Lima"
2600,"US Diplomatic Post: Bogota","StateAir_Bogota","Bogota"
2606,"Gonzales","AirNow","MONTEREY"
2146,"Odessa Gonzales C101","AirNow","Odessa"
2631,"Woodlawn","AirNow","Pensacola-Ferry Pass-Brent"
11635,"Estacada Clackamas R","AirNow","CLACKAMAS"
3374,"St Pol/mer Nord","EEA France","ATMO NORD-PAS-DE-CALAIS"
6210,"Doğubeyazıt","Turkey","Ağrı"
2687,"Vienne Centre","EEA France","AIR RHONE ALPES"
3408,"Øyekast","Norway","Grenland"
1539,"Blackstone","AirNow","LEE"
2711,"Rouen Le Conquerant","EEA France","AIR NORMAND"
6182,"Karşıyaka","Turkey","Ordu"
5532,"Fisherman's Landing","Australia - Queensland","Gladstone"
6124,"Bandırma-MTHM","Turkey","Balıkesir"
3493,"Dunkerque Port","EEA France","ATMO NORD-PAS-DE-CALAIS"
3499,"Loon-Plage","EEA France","ATMO NORD-PAS-DE-CALAIS"
3502,"SMVO Rieux","EEA France","ATMO PICARDIE"
3504,"BOSSENES","EEA France","AIR PAYS DE LA LOIRE"
2196,"Eliza Howell Downwin","AirNow","WAYNE"
2614,"SJ Baut","AirNow","CA8 - ARB"
3324,"Plzen-Bory","EEA Czech Republic","National automated monitoring network (SIS)"
3352,"40TS21 - TESSENDERLO","EEA Belgium","Flanders"
7505,"Wadsworth-NV","AirNow","Reno-Sparks"
3373,"MARICOPA","AirNow","Phoenix-Mesa-Scottsdale"
3934,"Klagenfurt A2 Nordumfahrung 2","EEA Austria","Amt der K�rntner Landesregierung"
5531,"South Gladstone","Australia - Queensland","Gladstone"
1367,"Xalostoc","AirNow","MEXICO STATE"
5225,"Hood River","AirNow","HOOD RIVER"
5533,"Wynnum West","Australia - Queensland","South East Queensland"
6133,"Yeniköy-MTHM","Turkey","Kocaeli"
729,"Hawaii Volcanoes NP","AirNow","Hilo"
1114,"HARRINGTON BCH","AirNow","Milwaukee-Waukesha-West Allis"
4750,"GB0951A","EEA Gibraltar","Gibraltar"
396,"Boston - North End","AirNow","Boston-Cambridge-Quincy"
3551,"HIGLEY","AirNow","Phoenix-Mesa-Scottsdale"
5757,"Gresham","AirNow","MULTNOMAH"
1678,"CROUSE","AirNow","Lincolnton"
573,"Golden Hospital","AirNow","BRITISH COLUMBIA"
2897,"Grundlsee","EEA Austria","Austria"
3843,"İnceburun","Turkey","Sinop"
5523,"Wynnum","Australia - Queensland","South East Queensland"
2951,"Copenhagen/1103","EEA Denmark","Danish Air Quality Monitoring Programme"
2952,"Odense/9155","EEA Denmark","Danish Air Quality Monitoring Programme"
1787,"Mentor","AirNow","Cleveland-Elyria-Mentor"
7518,"Faro","ARPALAZIO","Civitavecchia"
3933,"Fougeres DSTE","EEA France","AIR BREIZH"
10926,"Skonertvägen (E4/E20)","Stockholm","Stockholm"
81,"Coronel Norte","Chile - SINCA","Coronel"
1012,"Palmer","AirNow","MATANUSKA-SUSITNA"
5697,"FR34025","EEA France","Indre-et-Loire"
320,"Cortina Rancheria","AirNow","COLUSA"
2204,"El Capitan","AirNow","Santa Barbara-Santa Maria"
5234,"GBUAPCD EBAM @ Alpin","AirNow","GBU"
878,"Davis - UCD Campus","AirNow","Sacramento--Arden-Arcade--Roseville"
9376,"RO0095A","EEA Romania","Arad"
3828,"Lens Stade J. Moulin","EEA France","ATMO HAUTS DE FRANCE"
5235,"GBUAPCD EBAM @ Lee V","AirNow","GBU"
618,"Miami Ridgeline","AirNow","Payson"
6184,"Gaziemir","Turkey","İzmir"
5230,"Unit1019","AirNow","FS1 - Forest Service"
7218,"Сайншанд","Tsag-Agaar.gov.mn","Сайншанд хот"
7216,"Ховд","Tsag-Agaar.gov.mn","Ховд хот"
5820,"Ft Caroline","AirNow","DUVAL"
5801,"Selimiye","Turkey","İstanbul"
5251,"Unit1019","AirNow","FS1 - Forest Service"
1001,"PURCHASE","AirNow","Asheville"
858,"Lima","AirNow","Lima"
1545,"Blue Ridge I-70","AirNow","Kansas City"
3528,"Plymouth Tavistock Road.","DEFRA","Plymouth"
3997,"FR41022","EEA France","Corse-du-Sud"
5507,"MT00004","EEA Malta","Zejtun (Citta' Beland)"
2126,"OKC","AirNow","Oklahoma City"
5874,"GBUAPCD EBAM @ Bridg","AirNow","GBU"
142,"Chengdu","Chengdu","Chengdu"
2635,"GBUAPCD EBAM @ Lee V","AirNow","GBU"
3260,"VAL�NCIA - MOL� DEL SOL","EEA Spain","CCAA Com. Valenciana"
2120,"Roanoke Elem. School","AirNow","Huntington"
5345,"Hidden Valley School","AirNow","CA8 - ARB"
905,"Jackson - Clinton","AirNow","AMADOR"
5699,"FR34024","EEA France","Indre-et-Loire"
2999,"�ht�ri 2","EEA Finland","Ilmatieteen laitoksen verkko"
833,"Brownsville C80","AirNow","Brownsville-Harlingen"
2921,"ES1163A","EEA Spain","Burgos"
5733,"CZ0JKMY","EEA Czech Republic","Vysočina"
626,"Bronx - IS52","AirNow","New York-Northern New Jersey-Long Island"
6190,"Fatih","Turkey","Trabzon"
7884,"Victorville - Park A","AirNow","Riverside-San Bernardino-Ontario"
6149,"Şile-MTHM","Turkey","İstanbul"
461,"Providence","AirNow","Providence-New Bedford-Fall River"
3871,"Taoyuan","Taiwan","桃園市"
